1143,Randal Kirk,375,2014,60,4.0
1144,Wang Wei,375,2014,0,4.0
1192,Bernard (Barry) Sherman,388,2014,72,3.9
1193,Daniel Och,388,2014,53,3.9
1194,Donald Trump,388,2014,67,3.9
1195,Heinz-Georg Baus,388,2014,80,3.9
1196,"John Gokongwei, Jr.",388,2014,86,3.9
1197,Martha Ingram,388,2014,78,3.9
1198,Riley Bechtel,388,2014,61,3.9
1199,"Stephen Bechtel, Jr.",388,2014,88,3.9
1208,Alain Merieux,396,2014,76,3.8
1209,Alexander Abramov,396,2014,55,3.8
1210,Andreas von Bechtolsheim,396,2014,58,3.8
1211,Jeffrey Skoll,396,2014,49,3.8
1212,Mark Shoen,396,2014,62,3.8
1213,Mitchell Rales,396,2014,57,3.8
1214,Odd Reitan,396,2014,62,3.8
1215,Peter Hargreaves,396,2014,67,3.8
1216,Steve Wynn,396,2014,72,3.8
1217,Uday Kotak,396,2014,54,3.8
1218,Walter Faria,396,2014,58,3.8
1219,William Koch,396,2014,73,3.8
1232,Aloys Wobben,408,2014,62,3.7
1233,Axel Oberwelland,408,2014,47,3.7
1234,Charles Dolan,408,2014,87,3.7
1235,Daniel Gilbert,408,2014,52,3.7
1236,Gong Hongjia,408,2014,49,3.7
1237,Guenther Fielmann,408,2014,74,3.7
1238,Igor Kesaev,408,2014,47,3.7
1239,Isabel dos Santos,408,2014,40,3.7
1240,Jiang Bin,408,2014,47,3.7
1241,John Sall,408,2014,65,3.7
1242,Joseph Tsai,408,2014,50,3.7
1243,Karen Pritzker,408,2014,56,3.7
1244,Martin & Olivier Bouygues,408,2014,0,3.7
1245,Michael Stoschek,408,2014,66,3.7
1246,Murat Ulker,408,2014,54,3.7
1247,Nathan Kirsh,408,2014,82,3.7
1248,Niels Peter Louis-Hansen,408,2014,66,3.7
1249,Ronald Lauder,408,2014,70,3.7
1250,Wu Yajun,408,2014,50,3.7
1251,Zhang Jindong,408,2014,50,3.7
1252,Zhang Xin,408,2014,48,3.7
1299,Vanich Chaiyawan,429,2014,0,3.7
1300,David Shaw,430,2014,62,3.6
1301,God Nisanov,430,2014,41,3.6
1302,Ian & Richard Livingstone,430,2014,0,3.6
1303,J. Christopher Reyes,430,2014,60,3.6
1304,Jan Kulczyk,430,2014,64,3.6
1305,Jerry Speyer,430,2014,73,3.6
1306,Jude Reyes,430,2014,58,3.6
1307,Maria-Elisabeth Schaeffler,430,2014,72,3.6
1308,Michael Platt,430,2014,45,3.6
1309,Reid Hoffman,430,2014,46,3.6
1310,Sheldon Solow,430,2014,85,3.6
1311,Steven Rales,430,2014,62,3.6
1312,Steven Udvar-Hazy,430,2014,68,3.6
1313,Zarakh Iliev,430,2014,47,3.6
1314,Zhang Shiping,430,2014,67,3.6
1315,Adi Godrej,446,2014,71,3.5
1316,Andreas Struengmann,446,2014,64,3.5
1317,Bernard Marcus,446,2014,84,3.5
1318,Evan Williams,446,2014,41,3.5
1319,George Bishop,446,2014,77,3.5
1320,"H. Ross Perot, Sr.",446,2014,83,3.5
1321,Jamshyd Godrej,446,2014,65,3.5
1322,Keiichiro Takahara,446,2014,82,3.5
1323,Leon G. Cooperman,446,2014,70,3.5
1324,Lorenzo Mendoza,446,2014,48,3.5
1325,Lu Guanqiu,446,2014,69,3.5
1326,Masatoshi Ito,446,2014,89,3.5
1327,Prince Sultan bin Mohammed bin Saud Al Kabeer,446,2014,60,3.5
1328,Rosa Anna Magno Garavoglia,446,2014,0,3.5
1329,Sri Prakash Lohia,446,2014,61,3.5
1330,Thomas Struengmann,446,2014,64,3.5
1331,Yvonne Bauer,446,2014,36,3.5
1332,Zygmunt Solorz-Zak,446,2014,57,3.5
1371,Andrei Guriev,466,2014,53,3.4
1372,Chung Eui-Sun,466,2014,43,3.4
1373,Daniela Herz,466,2014,60,3.4
1374,"Edward Roski, Jr.",466,2014,75,3.4
1375,Fredrik Lundberg,466,2014,62,3.4
1376,Haim Saban,466,2014,69,3.4
1377,Han Chang-Woo,466,2014,83,3.4
1378,Jim Davis,466,2014,70,3.4
1379,John Doerr,466,2014,62,3.4
1380,John Gandel,466,2014,79,3.4
1381,Lin Yu-lin,466,2014,78,3.4
1382,Rafael Del Pino y Calvo-Sotelo,466,2014,55,3.4
1383,Ronda Stryker,466,2014,59,3.4
1384,Steven Spielberg,466,2014,67,3.4
1385,Sun Guangxin,466,2014,51,3.4
1386,Tamara Gustavson,466,2014,52,3.4
1387,Wolfgang Marguerre,466,2014,73,3.4
1388,Aloysio de Andrade Faria,483,2014,93,3.3
1389,Antti Herlin,483,2014,57,3.3
1390,Clayton Riddell,483,2014,76,3.3
1391,Daryl Katz,483,2014,52,3.3
1392,David Consunji,483,2014,92,3.3
1393,Doris Fisher,483,2014,82,3.3
1394,Francis Choi,483,2014,66,3.3
1395,Fu Liquan,483,2014,46,3.3
1396,Israel Englander,483,2014,65,3.3
1397,Jean Pierre Cayard,483,2014,71,3.3
1398,Marc Benioff,483,2014,49,3.3
1399,Matthias Reimann-Andersen,483,2014,48,3.3
1400,Mikhail Gutseriev,483,2014,55,3.3
1401,Otto Happel,483,2014,66,3.3
1402,Phillip Frost,483,2014,77,3.3
1403,Renate Reimann-Haas,483,2014,62,3.3
1404,Renzo Rosso,483,2014,58,3.3
1405,Samuel Yin,483,2014,63,3.3
1406,Sarik Tara,483,2014,83,3.3
1407,Stefan Reimann-Andersen,483,2014,50,3.3
1408,Stephan Schmidheiny,483,2014,66,3.3
1409,Terrence Pegula,483,2014,63,3.3
1410,Wolfgang Reimann,483,2014,61,3.3
1460,"Austen Cargill, II.",506,2014,63,3.2
1461,Christoffel Wiese,506,2014,72,3.2
1462,Desh Bandhu Gupta,506,2014,76,3.2
1463,Frederick Smith,506,2014,69,3.2
1464,George Lindemann,506,2014,77,3.2
1465,Gianluigi Aponte,506,2014,0,3.2
1466,Heidi Horten,506,2014,73,3.2
1467,Issad Rebrab,506,2014,70,3.2
1468,"James Cargill, II.",506,2014,64,3.2
1469,"Julian Robertson, Jr.",506,2014,82,3.2
1470,Liu Yonghao,506,2014,62,3.2
1471,Lu Xiangyang,506,2014,51,3.2
1472,Marianne Liebmann,506,2014,60,3.2
1473,Rafaela Aponte,506,2014,0,3.2
1474,Spiro Latsis,506,2014,67,3.2
1475,Victor Pinchuk,506,2014,53,3.2
1476,Alexander Svetakov,520,2014,46,3.1
1477,Andre Esteves,520,2014,45,3.1
1478,Anthony Pritzker,520,2014,53,3.1
1479,Antonio Ermirio de Moraes,520,2014,85,3.1
1480,Archie Aldis Emmerson,520,2014,84,3.1
1481,Daniel D'Aniello,520,2014,67,3.1
1482,David Azrieli,520,2014,91,3.1
1483,David Rubenstein,520,2014,64,3.1
1484,Eddie & Sol Zakay,520,2014,63,3.1
1485,Ermirio Pereira de Moraes,520,2014,81,3.1
1486,Hans Peter Wild,520,2014,72,3.1
1487,Isaac Perlmutter,520,2014,71,3.1
1488,James Jannard,520,2014,64,3.1
1489,Jay Robert (J.B.) Pritzker,520,2014,49,3.1
1490,"Jeremy Jacobs, Sr.",520,2014,74,3.1
1491,Judy Faulkner,520,2014,70,3.1
1492,Maria Helena Moraes Scripilliti,520,2014,83,3.1
1493,Mohamed Mansour,520,2014,66,3.1
1494,Mohammed Al Issa,520,2014,89,3.1
1495,Najib Mikati,520,2014,58,3.1
1496,Peter Kellogg,520,2014,71,3.1
1497,Roger Wang,520,2014,65,3.1
1498,Shi Yuzhu,520,2014,51,3.1
