Dannine Avara,USA,Enterprise Products,relation,female
"Herbert Kohler, Jr.",USA,Kohler Company,relation,male
Ivan Glasenberg,AUS,Glencore Xstrata,CEO,male
Milane Frantz,USA,Enterprise Products,relation,female
Paolo & Gianfelice Mario Rocca,ITA,Techint,relation,male
Patrick Drahi,FRA,Altice,founder,male
Randa Williams,USA,Enterprise Products,relation,female
Scott Duncan,USA,Enterprise Products,relation,male
"Rupert Johnson, Jr.",USA,Franklin Resources,relation,male
S. Truett Cathy,USA,Chick-fil-A,founder,male
Sumner Redstone,USA,National Amusements,relation,male
David Geffen,USA,Asylum Records/Geffen Records/Dreamworks,founder,male
Iskander Makhmudov,RUS,Ural Mining and Metallurgical Company,founder,male
Lucio Tan,PHL,Asia Brewery,founder,male
Pyotr Aven,RUS,Alfa Group,chairman of the board,male
Richard LeFrak,USA,LeFrack ,relation,male
Sandra Ortega Mera,ESP,Zara,relation,female
"Thomas Frist, Jr.",USA,Hostpital Corporation of America,founder/relation,male
Chan Laiwa,CHN,Fuwah International Group,founder,female
Denis O'Brien,IRL,Estat Digiphone (O2),founder,male
Filaret Galchev,RUS,Rosuglesbyt,founder,male
Ira Rennert,USA,Renco,founder,male
James Irving,CAN,J.D. Irving,relation,male
Patrizio Bertelli,ITA,Prada,relation,male
Charles Schwab,USA,Charles Schwab Corporation,founder,male
Dennis Washington,USA,Washington Companies,founder,male
Gayle Cook,USA,Cook Group,founder,female
Leon Black,USA,Apollo Global management,founder,male
Hui Ka Yan,CHN,Evergrande Group,chairman,male
Hui Wing Mau,HKG,Shimao Property,founder,male
Idan Ofer,ISR,Zodiac Maritime Agencies,relation,male
Isak Andic,ESP,Mango,founder,male
Jorn Rausing,SWE,Tetra Pak,relation,male
Leslie Wexner,USA,Limited Brands,founder,male
Patrick McGovern,USA,International Data Goup,founder,male
Sunil Mittal,IND,Bharti Enterprises,founder,male
Ray Lee Hunt,USA,Hunt Oil. Co,relation,male
Stanley Kroenke,USA,Kroenke Sports Enterprises,founder,male
Teh Hong Piow,MYS,Public Bank,founder,male
Arthur Irving,CAN,Irving Oil,relation,male
Bruno Schroder,GBR,Schroders,relation,male
Carlos and Alejandro Bulgheroni,ARG,Bridas Energy,relation,male
Jeffery Hildebrand,USA,Hilcorp Energy Company,founder,male
Liu Yongxing,CHN,East Hope Group,founder,male
Michael Ashley,GBR,Sports Direct,founder,male
Thomas Schmidheiny,CHE,Holcim,relation,male
Melker Schorling,SWE,Melker Schorling AB (MSAB),founder,male
Sergei Popov,RUS,MDM Bank,founder/vice chairman,male
Stephen Ross,USA,The Related Companies,founder,male
Terry Gou,Taiwan,Foxconn,founder,male
Americo Amorim,PRT,Corticeira Amorim,relation,male
Anders Holch Povlsen,DEN,Bestseller,relation,male
Stef Wertheimer,ISR,ISCAR,founder,male
Andrew Forrest,AUS,Fortescue Metals Group,Chairman,male
Bidzina Ivanishvili,GEO,Rossiysky Kredit,founder,male
Karl-Heinz Kipp,DEU,Massa,founder,male
Ken Griffin,USA,Citadel LLC,founder,male
Kwee brothers,SGP,Pontiac Land,relation,male
Maria Asuncion Aramburuzabala,MEX,Grupo Modelo,relation,female
Wee Cho Yaw,SGP,United Overseas Bank,relation,male
Finn Rausing,SWE,Tetra Pak,relation,male
Jacqueline Desmarais,CAN,Power Corporation of Canada,relation,female
Kirsten Rausing,SWE,Tetra Pak,relation,female
Anil Ambani,IND,Reliance,relation,male
Antonio Del Valle Ruiz,MEX,Mexichem,Honorary President for Life,male
Bruce Halle,USA,Discount Tire,founder,male
David Green,USA,Hobby Lobby,founder,male
Frederik Paulsen,SWE,Ferring Pharmaceuticals,relation,male
George Roberts,USA,Kohlberg Kravis Roberts,founder,male
Gordon Moore,USA,Intel ,founder,male
Harry Triguboff,AUS,Meriton,founder,male
Henry Kravis,USA,Kohlberg Kravis Roberts,founder,male
Joe Lewis,GBR,Tavistock Group,founder,male
Micky Jagtiani,IND,Landmark Group,founder,male
Richard Branson,GBR,Virgin Group,founder,male
Stein Erik Hagen,NOR,RIMI,founder,male
Walter Kwok,HKG,Sun Hung Kai Properties,relation,male
Albert Frere,BEL,Groupe Bruxelles Lambert,founder,male
Cyrus Poonawalla,IND,Serum Institute of India,founder,male
Erivan Haub,DEU,Tenglemann Group,relation,male
Frits Goldschmeding,NLD,Randstad,founder,male
George Lucas,USA,Lucasfilm,founder,male
Heinz-Horst Deichmann,DEU,Heinrich Deichmann-Schuhe,relation,male
Kunio Busujima,JPN,Sankyo,founder,male
Robert Rowling,USA,Tana Exploration Company,relation,male
Savitri Jindal,IND,O.P. Jindal Group,relation,female
Shashi and Ravi Ruia,IND,Essar Group,founder,male
Abdulla bin Ahmad Al Ghurair,ARE,Al-Ghurair Group,relation,male
Ann Walton Kroenke,USA,Walmart,relation,female
Bruce Kovner,USA,Caxton Associates,founder,male
Daniel Ziff,USA,Ziff Davis Inc,relation,male
Dirk Ziff,USA,Ziff Davis Inc,relation,male
Gwendolyn Sontheim Meyer,USA,Cargill,relation,female
Juan Roig,ESP,Mercadona,relation,male
Karl Wlaschek,AUT,BILLA,founder,male
Laurence Graff,GBR,Graff Diamonds,founder,male
Liselott Persson,SWE, H&M,inherited,female
Pauline MacMillan Keinath,USA,Cargill,relation,female
Robert Ziff,USA,Ziff Davis Inc,relation,male
Whitney MacMillan,USA,Cargill,relation,male
Zhang Zhidong,CHN,Tencent,founder,male
Andrew Tan,PHL,Alliance Global Group,Chairman and Chief Executive Officer,male
Arnon Milchan,ISR,New Regency Films,founder,male
Frank Lowy,AUS,Westfield Group,founder,male
Horst Paulmann,CHL,Hipermercados Jumbo,founder,male
Sergio Mantegazza,CHE,Globus,relation,male
Shari Arison,ISR,Carnival Corporation,relation,female
Diane Hendricks,USA,ABC Supply,founder,female
Mike Adenuga,NGA,Conoil/Globacom,founder,male
Pierre Bellon,FRA,Sodexo,founder,male
David Sun,USA,Kingston Technology,founder,male
Dieter Schnabel,DEU,Helm AG,relation,male
James Dyson,GBR,Dyson,founder,male
Jay Y. Lee,KOR,Samsung,relation,male
John A. Sobrato,USA,Sobrato Organization,founder,male
John Tu,USA,Kingston Technology,founder,male
Kirk Kerkorian,USA,MGM Grand,investor,male
Lynn Schusterman,USA,Samson Investment Company,relation,female
Majid Al Futtaim,ARE,Majid Al Futtaim,founder,male
Michael Herz,DEU,Maxingvest AG,relation,male
Trevor Rees-Jones,USA,Chief Oil and Gas ,founder,male
Wolfgang Herz,DEU,Maxingvest AG,relation,male
Barbara Carlson Gage,USA,Carlson Inc,relation,female
Guenter Herz & Family,DEU,Maxingvest AG,relation,male
