858,Joe Lewis,self-made finance,,True,not inherited
859,Micky Jagtiani,founder non-finance,Non-Traded Sectors,True,not inherited
860,Richard Branson,founder non-finance,Non-Traded Sectors,True,not inherited
861,Stein Erik Hagen,founder non-finance,Non-Traded Sectors,True,not inherited
862,Walter Kwok,inherited,Financial,True,father
897,Albert Frere,self-made finance,Financial,True,not inherited
898,Cyrus Poonawalla,founder non-finance,New Sectors,True,not inherited
899,Erivan Haub,inherited,Non-Traded Sectors,True,3rd generation
900,Frits Goldschmeding,founder non-finance,0,True,not inherited
901,George Lucas,founder non-finance,Non-Traded Sectors,True,not inherited
902,Heinz-Horst Deichmann,inherited,Traded Sectors,True,father
903,Kunio Busujima,founder non-finance,Non-Traded Sectors,True,not inherited
904,Robert Rowling,self-made finance,Financial,True,not inherited
905,Savitri Jindal,inherited,Resource Related,True,spouse/widow
906,Shashi and Ravi Ruia,self-made finance,Financial,True,not inherited
917,Abdulla bin Ahmad Al Ghurair,inherited,Financial,True,father
918,Ann Walton Kroenke,inherited,Non-Traded Sectors,True,father
919,Bruce Kovner,self-made finance,Financial,True,not inherited
920,Daniel Ziff,inherited,Financial,True,3rd generation
921,Dirk Ziff,inherited,Financial,True,3rd generation
922,Gwendolyn Sontheim Meyer,inherited,Financial,True,3rd generation
923,Juan Roig,inherited,Non-Traded Sectors,True,father
924,Karl Wlaschek,founder non-finance,Non-Traded Sectors,True,not inherited
925,Laurence Graff,founder non-finance,Traded Sectors,True,not inherited
926,Liselott Persson,inherited,Traded Sectors,True,father
927,Pauline MacMillan Keinath,inherited,Financial,True,3rd generation
928,Robert Ziff,inherited,Financial,True,3rd generation
929,Whitney MacMillan,inherited,Financial,True,3rd generation
930,Zhang Zhidong,founder non-finance,New Sectors,True,not inherited
969,Andrew Tan,self-made finance,Financial,True,not inherited
970,Arnon Milchan,founder non-finance,Non-Traded Sectors,True,not inherited
971,Frank Lowy,self-made finance,Financial,True,not inherited
972,Horst Paulmann,founder non-finance,Non-Traded Sectors,True,not inherited
973,Sergio Mantegazza,inherited,0,True,father
974,Shari Arison,inherited,Non-Traded Sectors,True,father
981,Diane Hendricks,founder non-finance,Non-Traded Sectors,True,not inherited
982,Mike Adenuga,privatized and resources,Non-Traded Sectors,True,not inherited
983,Pierre Bellon,founder non-finance,Non-Traded Sectors,True,not inherited
987,David Sun,founder non-finance,New Sectors,True,not inherited
988,Dieter Schnabel,inherited,Traded Sectors,True,father
989,James Dyson,founder non-finance,Traded Sectors,True,not inherited
990,Jay Y. Lee,inherited,New Sectors,True,3rd generation
991,John A. Sobrato,self-made finance,Financial,True,not inherited
992,John Tu,founder non-finance,New Sectors,True,not inherited
993,Kirk Kerkorian,self-made finance,Financial,True,not inherited
994,Lynn Schusterman,inherited,Resource Related,True,spouse/widow
995,Majid Al Futtaim,self-made finance,Financial,True,not inherited
996,Michael Herz,inherited,Traded Sectors,True,father
997,Trevor Rees-Jones,privatized and resources,Resource Related,True,not inherited
998,Wolfgang Herz,inherited,Traded Sectors,True,father
1038,Barbara Carlson Gage,inherited,Financial,True,father
1039,Guenter Herz & Family,inherited,Traded Sectors,True,father
1040,Kelcy Warren,executive,Traded Sectors,True,not inherited
1041,Luo Jye,founder non-finance,Traded Sectors,True,not inherited
1042,Marilyn Carlson Nelson,inherited,Financial,True,father
1048,Dan Olsson,inherited,Financial,True,father
1049,Emanuele (Lino) Saputo,inherited,Traded Sectors,True,father
1050,Guo Guangchang,self-made finance,Financial,True,not inherited
1051,Lee Shin Cheng,privatized and resources,Resource Related,True,not inherited
1052,Liang Wengen,founder non-finance,Traded Sectors,True,not inherited
1053,"Paul Tudor Jones, II.",self-made finance,Financial,True,not inherited
1054,Sam Zell,self-made finance,Financial,True,not inherited
1055,Samvel Karapetyan,founder non-finance,Financial,True,not inherited
1056,Wang Chuanfu,founder non-finance,Traded Sectors,True,not inherited
1066,Akira Mori,inherited,Financial,True,father
1067,Bernard Ecclestone,executive,0,True,not inherited
1068,Elizabeth Mohn,inherited,Non-Traded Sectors,True,spouse/widow
1069,Enrique Razon,inherited,Financial,True,father
1070,Friede Springer,inherited,Non-Traded Sectors,True,spouse/widow
1071,Jeronimo Arango,founder non-finance,Non-Traded Sectors,True,not inherited
1072,Leonard Stern,inherited,Financial,True,father
1073,Lin Rong San,self-made finance,Financial,True,not inherited
1074,Malcolm Glazer,founder non-finance,Traded Sectors,True,not inherited
1075,Ralph Dommermuth,founder non-finance,New Sectors,True,not inherited
1076,Ted Lerner,self-made finance,Financial,True,not inherited
1077,Wang Wenyin,privatized and resources,Resource Related,True,not inherited
1078,William Ding,founder non-finance,New Sectors,True,not inherited
1116,Anthony Bamford,inherited,Non-Traded Sectors,True,father
1117,Barry Lam,founder non-finance,New Sectors,True,not inherited
1118,Beny Steinmetz,inherited,Resource Related,True,father
1119,Eduardo Saverin,founder non-finance,New Sectors,True,not inherited
1120,Francisco Ivens de Sa Dias Branco,executive,Traded Sectors,True,not inherited
1121,Ingvar Kamprad,founder non-finance,Non-Traded Sectors,True,not inherited
1122,Nancy Walton Laurie,inherited,Non-Traded Sectors,True,father
1123,Shahid Khan,executive,Traded Sectors,True,not inherited
